G,G,G,G,G,G,Total Projected Points,Total Projected Ownership,Total Salary,Expected Value (%)
Michael Brennan (42085992),Chris Kirk (42085971),Shane Lowry (42085951),Aaron Rai (42085961),Jesper Svensson (42086002),Michael Thorbjornsen (42085957),449.29,85.05,50000,2.37
Doug Ghim (42085986),Max McGreevy (42085967),Keith Mitchell (42085956),Kristoffer Reitan (42085974),Jordan L. Smith (42085972),Will Zalatoris (42085965),442.29,69.98,48800,-13.66
Tom Kim (42085985),Hao-Tong Li (42085968),Seamus Power (42085978),Sami Valimaki (42085977),Will Zalatoris (42085965),Daniel Berger (42085960),436.18,65.93,48000,-14.88
Ricky Castillo (42085982),Brice Garnett (42086043),Ryan Gerard (42085952),Rasmus Hojgaard (42085954),Seonghyeon Kim (42086004),Shane Lowry (42085951),447.9,90.08,49900,-11.74
Rasmus Hojgaard (42085954),Beau Hossler (42086010),Rasmus Neergaard-Petersen (42085958),Thorbjorn Olesen (42085964),Seamus Power (42085978),Will Zalatoris (42085965),437.79,64.43,50000,8.27
Zecheng Dou (42086008),Ryan Gerard (42085952),Tom Kim (42085985),Aaron Rai (42085961),Alex Smalley (42085966),Daniel Berger (42085960),451,86.05,50000,12.99
Ryan Gerard (42085952),Doug Ghim (42085986),Nicolai Hojgaard (42085955),Stephan Jaeger (42085981),Hao-Tong Li (42085968),Kris Ventura (42085994),447.69,89.08,49300,11.67
Michael Brennan (42085992),Ryan Gerard (42085952),Max Homa (42085970),Shane Lowry (42085951),John Parry (42085980),Matt Wallace (42085984),455.99,95.11,49600,-5.55
Zecheng Dou (42086008),Ryan Gerard (42085952),Rasmus Hojgaard (42085954),Mark Hubbard (42086036),Davis Thompson (42085963),Daniel Berger (42085960),448.9,86.06,50000,-5.58
Ryan Gerard (42085952),Garrick Higgo (42085987),Rico Hoey (42085976),Shane Lowry (42085951),Mac Meissner (42085969),Dylan Wu (42086012),458.88,92.08,49300,41.09
Ricky Castillo (42085982),Rasmus Hojgaard (42085954),John Keefer (42085973),Keith Mitchell (42085956),Keita Nakajima (42086022),Rasmus Neergaard-Petersen (42085958),439.6,65.44,49900,11.09
Michael Brennan (42085992),Chris Kirk (42085971),Max McGreevy (42085967),Rasmus Neergaard-Petersen (42085958),Alex Smalley (42085966),Michael Thorbjornsen (42085957),450.39,80.53,49900,16.03
Nicolas Echavarria (42085983),Nicolai Hojgaard (42085955),John Keefer (42085973),Shane Lowry (42085951),John Parry (42085980),Vince Whaley (42085996),452.29,89.08,49100,-5.76
Rasmus Hojgaard (42085954),Tom Kim (42085985),Shane Lowry (42085951),Jordan L. Smith (42085972),Gary Woodland (42086003),Will Zalatoris (42085965),449.09,78.01,50000,24.98
Adrien Dumont De Chassart (42086013),Garrick Higgo (42085987),Rasmus Hojgaard (42085954),Mackenzie Hughes (42085979),Davis Thompson (42085963),Daniel Berger (42085960),440.79,61.4,48600,-4.55
Rasmus Hojgaard (42085954),Tom Kim (42085985),Shane Lowry (42085951),Alex Smalley (42085966),Jesper Svensson (42086002),Sami Valimaki (42085977),451.29,79.01,49700,4.52
Mac Meissner (42085969),Keith Mitchell (42085956),Rasmus Neergaard-Petersen (42085958),John Parry (42085980),Aaron Rai (42085961),Dylan Wu (42086012),443.69,62.4,49500,33.06
Michael Brennan (42085992),Mackenzie Hughes (42085979),Rasmus Neergaard-Petersen (42085958),John Parry (42085980),Davis Thompson (42085963),Sami Valimaki (42085977),440.37,60.4,47500,8.4
Adrien Dumont De Chassart (42086013),Stephan Jaeger (42085981),Shane Lowry (42085951),Kristoffer Reitan (42085974),Alex Smalley (42085966),Michael Thorbjornsen (42085957),448.2,81.03,49400,3.76
Stephan Jaeger (42085981),Keith Mitchell (42085956),Alex Smalley (42085966),Michael Thorbjornsen (42085957),Sami Valimaki (42085977),Kevin Yu (42085988),444.09,72.48,49200,-5.59
Nicolai Hojgaard (42085955),Mark Hubbard (42086036),Shane Lowry (42085951),Mac Meissner (42085969),Keith Mitchell (42085956),Jesper Svensson (42086002),451.09,85.57,50000,7.55
Michael Brennan (42085992),Rico Hoey (42085976),Stephan Jaeger (42085981),Keith Mitchell (42085956),Davis Thompson (42085963),Daniel Berger (42085960),447.38,73.49,49100,13.29
Christiaan Bezuidenhout (42085962),Doug Ghim (42085986),Nicolai Hojgaard (42085955),Mark Hubbard (42086036),Chris Kirk (42085971),Shane Lowry (42085951),445.98,79.02,49700,2.7
Christiaan Bezuidenhout (42085962),Joel Dahmen (42086005),Nicolai Hojgaard (42085955),Alex Smalley (42085966),Davis Thompson (42085963),Gary Woodland (42086003),442.78,69.46,49000,12.24
