lineup_num,players,salary,projection,mean_payout,roi_pct
83,Shane Lowry | Daniel Berger | Joel Dahmen | William Mouw | Chandler Phillips | David Ford,48500,239.0,13.57,171.3
84,Rasmus Hojgaard | Max McGreevy | Ricky Castillo | Austin Eckroat | Zecheng Dou | Lee Hodges,48000,240.4,16.39,227.8
85,Nicolai Hojgaard | Daniel Berger | Michael Brennan | Emiliano Grillo | Seamus Power | William Mouw,49200,240.7,14.41,188.2
86,Rasmus Hojgaard | Max McGreevy | Alex Smalley | John Parry | Mackenzie Hughes | Chan Kim,49800,242.0,16.16,223.3
87,Max McGreevy | Thorbjorn Olesen | Max Homa | Christiaan Bezuidenhout | Lee Hodges | Daniel Brown,48200,239.0,14.15,183.0
88,Nicolai Hojgaard | Jordan L. Smith | Nicolas Echavarria | Garrick Higgo | Hao-Tong Li | Zachary Bauchou,48200,239.4,14.05,181.0
89,Shane Lowry | Michael Brennan | Hao-Tong Li | Billy Horschel | Matti Schmid | Takumi Kanaya,49300,239.1,14.03,180.5
90,Davis Thompson | Rasmus Neergaard-Petersen | John Parry | Mackenzie Hughes | Ricky Castillo | Jackson Suber,48400,239.4,15.08,201.6
91,Ryan Gerard | Davis Thompson | Mackenzie Hughes | Adrien Saddier | Beau Hossler | Chan Kim,48100,240.9,14.31,186.2
92,Daniel Berger | Michael Brennan | Aaron Rai | Jordan L. Smith | Kevin Roy | Seamus Power,49600,241.2,15.69,213.8
93,Keith Mitchell | Max McGreevy | Thorbjorn Olesen | Mackenzie Hughes | Ricky Castillo | Adrien Saddier,49500,243.0,15.86,217.2
94,Rasmus Hojgaard | Max McGreevy | Alex Smalley | Matt Wallace | Steven Fisk | Jackson Suber,49000,239.2,14.25,185.0
95,Keith Mitchell | Davis Thompson | Rasmus Neergaard-Petersen | Max Homa | Zecheng Dou | Steven Fisk,49800,241.5,14.94,198.8
96,Shane Lowry | Nicolai Hojgaard | Jordan L. Smith | Tom Kim | Chad Ramey | A.J. Ewart,49700,241.3,14.89,197.8
97,Ryan Gerard | Davis Thompson | Thorbjorn Olesen | John Parry | Matt Wallace | Matthieu Pavon,49500,243.2,14.59,191.7
98,Shane Lowry | Aaron Rai | Garrick Higgo | Joel Dahmen | Adrien Dumont De Chassart | Zachary Bauchou,48100,239.0,13.66,173.2
99,Rasmus Hojgaard | Rasmus Neergaard-Petersen | John Parry | Mackenzie Hughes | Max Homa | Daniel Brown,48600,242.2,16.26,225.2
