Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
9277,Ryan Gerard,Christiaan Bezuidenhout,Davis Thompson,John Keefer,Mackenzie Hughes,Webb Simpson,49000,419.8,8.9,7.39
4955,Ryan Gerard,Rasmus Neergaard-Petersen,Davis Thompson,Jordan L. Smith,Kris Ventura,Jesper Svensson,49400,424.0,3.7,7.93
9232,Ryan Gerard,Nicolai Hojgaard,Chris Kirk,Stephan Jaeger,Garrick Higgo,Keita Nakajima,48500,419.8,9.1,7.28
6721,Shane Lowry,Rasmus Hojgaard,Michael Thorbjornsen,Nicolas Echavarria,Chad Ramey,Beau Hossler,49800,422.2,5.8,7.89
4523,Shane Lowry,Ryan Gerard,Max McGreevy,Sami Valimaki,Seonghyeon Kim,John VanDerLaan,48800,424.5,12.9,7.66
3092,Ryan Gerard,Keith Mitchell,Mac Meissner,Rico Hoey,Seonghyeon Kim,Dylan Wu,48400,426.3,2.8,8.42
9459,Ryan Gerard,Keith Mitchell,Michael Thorbjornsen,Mackenzie Hughes,Emiliano Grillo,Christo Lamprecht,49300,419.6,9.3,7.08
370,Shane Lowry,Ryan Gerard,Michael Thorbjornsen,Ricky Castillo,Michael Brennan,Chandler Blanchet,49900,433.2,3.1,9.1
7527,Ryan Gerard,Rasmus Hojgaard,Keith Mitchell,Kevin Yu,Vince Whaley,Austin Smotherman,49400,421.4,5.8,7.56
8186,Ryan Gerard,Keith Mitchell,Davis Thompson,John Keefer,Kris Ventura,Adam Svensson,49100,420.8,6.6,7.62
7136,Shane Lowry,Nicolai Hojgaard,Keith Mitchell,Kevin Yu,Gary Woodland,Chandler Blanchet,49300,421.8,7.9,7.37
4028,Shane Lowry,Thorbjorn Olesen,Alex Smalley,Kristoffer Reitan,Garrick Higgo,Michael Brennan,48900,425.1,2.3,8.29
5215,Shane Lowry,Ryan Gerard,Hao-Tong Li,Garrick Higgo,Jesper Svensson,Steven Fisk,48900,423.8,5.2,8.13
7408,Shane Lowry,Davis Thompson,Thorbjorn Olesen,Max McGreevy,Garrick Higgo,Adrien Saddier,49200,421.5,13.1,6.62
