Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
Christiaan Bezuidenhout,5,3.3
Joel Dahmen,5,3.3
Seonghyeon Kim,5,3.3
Mark Hubbard,5,3.3
John VanDerLaan,5,3.3
Chandler Blanchet,4,2.7
Sami Valimaki,4,2.7
Chris Kirk,4,2.7
Zecheng Dou,4,2.7
Kevin Roy,4,2.7
Austin Eckroat,3,2.0
Christo Lamprecht,3,2.0
Adam Svensson,3,2.0
Isaiah Salinda,3,2.0
John Keefer,3,2.0
Daniel Brown,3,2.0
Will Zalatoris,3,2.0
Max Homa,2,1.3
Adam Hadwin,2,1.3
Austin Smotherman,2,1.3
Eric Cole,1,0.7
Billy Horschel,1,0.7
Aaron Rai,1,0.7
Carson Young,1,0.7
Seamus Power,1,0.7
Davis Riley,1,0.7
Matt Kuchar,1,0.7
Chandler Phillips,1,0.7
Sudarshan Yellamaraju,1,0.7
