Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
3520,Dustin Johnson,Collin Morikawa,Scottie Scheffler,Matthew Wolff,Lanto Griffin,Brendon Todd,49200,540.8,4.5,5.47
349,Dustin Johnson,Brooks Koepka,Tony Finau,Christiaan Bezuidenhout,Matt Jones,Michael Thompson,48900,548.0,11.9,4.89
7849,Dustin Johnson,Patrick Reed,Louis Oosthuizen,Billy Horschel,Matt Jones,Martin Laird,48100,536.7,17.2,5.08
3962,Dustin Johnson,Rory McIlroy,Justin Rose,Corey Conners,Ian Poulter,Mackenzie Hughes,48900,540.3,9.6,5.45
2958,Dustin Johnson,Tyrrell Hatton,Daniel Berger,Victor Perez,Jason Kokrak,Dylan Frittelli,49500,541.5,4.9,5.74
4351,Justin Thomas,Xander Schauffele,Tyrrell Hatton,Shane Lowry,Kevin Kisner,Zach Johnson,49500,539.8,3.8,5.92
41,Dustin Johnson,Tony Finau,Tyrrell Hatton,Brian Harman,Christiaan Bezuidenhout,Mackenzie Hughes,49300,551.9,11.2,5.28
3794,Bryson DeChambeau,Tyrrell Hatton,Matthew Fitzpatrick,Adam Scott,Victor Perez,Ian Poulter,49200,540.4,3.7,6.15
6091,Brooks Koepka,Tony Finau,Scottie Scheffler,Hideki Matsuyama,Brian Harman,Tyler Strafaci,48000,538.1,38.4,3.87
300,Dustin Johnson,Xander Schauffele,Tyrrell Hatton,Jason Kokrak,Zach Johnson,Tyler Strafaci,49800,548.3,41.1,3.85
747,Jon Rahm,Patrick Reed,Sungjae Im,Scottie Scheffler,Zach Johnson,Mackenzie Hughes,49900,546.0,0.2,6.95
1092,Dustin Johnson,Jon Rahm,Francesco Molinari,Jason Kokrak,Mackenzie Hughes,Michael Thompson,48800,544.9,18.7,4.41
8468,Jon Rahm,Patrick Reed,Scottie Scheffler,Billy Horschel,Si Woo Kim,Tyler Strafaci,48800,536.2,33.5,4.41
1278,Dustin Johnson,Justin Thomas,Adam Scott,Francesco Molinari,Ian Poulter,Brendon Todd,49700,544.5,1.6,6.59
10002,Bryson DeChambeau,Brooks Koepka,Daniel Berger,Abraham Ancer,Zach Johnson,Tyler Strafaci,48400,535.0,32.5,4.73
7518,Jon Rahm,Patrick Reed,Lee Westwood,Francesco Molinari,Brendon Todd,Stewart Cink,48400,537.0,12.6,4.64
1334,Dustin Johnson,Tony Finau,Tommy Fleetwood,Max Homa,Victor Perez,Kevin Kisner,49400,544.3,0.3,6.36
26,Dustin Johnson,Collin Morikawa,Tony Finau,Victor Perez,Lanto Griffin,Matt Jones,49900,552.8,3.7,6.06
3353,Dustin Johnson,Collin Morikawa,Sergio Garcia,Justin Rose,Francesco Molinari,Kevin Kisner,49900,541.0,3.3,5.83
266,Collin Morikawa,Tony Finau,Tyrrell Hatton,Scottie Scheffler,Brian Harman,Carlos Ortiz,49300,548.5,0.9,6.45
1519,Dustin Johnson,Tony Finau,Lee Westwood,Victor Perez,Christiaan Bezuidenhout,Bernd Wiesberger,49500,543.9,12.6,4.76
2504,Dustin Johnson,Collin Morikawa,Harris English,Billy Horschel,Justin Rose,Brendon Todd,49000,542.1,5.7,5.37
1587,Dustin Johnson,Tony Finau,Lee Westwood,Abraham Ancer,Billy Horschel,Robert Streb,50000,543.8,7.7,6.09
1839,Dustin Johnson,Brooks Koepka,Lee Westwood,Harris English,Matt Wallace,Michael Thompson,49300,543.3,12.6,4.65
4703,Dustin Johnson,Jon Rahm,Corey Conners,Brian Harman,Sebastian Munoz,Tyler Strafaci,49000,539.5,29.5,5.28
935,Jon Rahm,Collin Morikawa,Tyrrell Hatton,Francesco Molinari,Shane Lowry,Matt Jones,49800,545.4,10.3,4.92
4346,Justin Thomas,Tony Finau,Tyrrell Hatton,Billy Horschel,Ian Poulter,Tyler Strafaci,48800,539.8,45.1,3.47
5481,Dustin Johnson,Xander Schauffele,Matthew Fitzpatrick,Gary Woodland,Matt Jones,Stewart Cink,48800,538.6,6.1,5.56
7629,Dustin Johnson,Jordan Spieth,Tyrrell Hatton,Francesco Molinari,Zach Johnson,Martin Laird,49400,536.9,26.7,4.24
7481,Dustin Johnson,Webb Simpson,Harris English,Shane Lowry,Ian Poulter,Bernd Wiesberger,48000,537.0,17.3,4.09
2135,Dustin Johnson,Jon Rahm,Matthew Fitzpatrick,Brian Harman,Cheng-Tsung Pan,Stewart Cink,49900,542.7,2.5,6.46
1028,Dustin Johnson,Collin Morikawa,Lee Westwood,Shane Lowry,Kevin Kisner,Brendon Todd,49800,545.1,6.9,5.27
295,Brooks Koepka,Tony Finau,Lee Westwood,Scottie Scheffler,Tommy Fleetwood,Matt Jones,49800,548.3,-1.8,6.71
