Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
10580,Xander Schauffele,Justin Thomas,Jason Kokrak,Kevin Kisner,Abraham Ancer,Sebastian Munoz,48700,381.3,-0.0,10.57
8036,Xander Schauffele,Tony Finau,Webb Simpson,Abraham Ancer,Lanto Griffin,Brendon Todd,49600,385.9,1.2,14.6
9903,Bryson DeChambeau,Daniel Berger,Sungjae Im,Louis Oosthuizen,Ryan Palmer,J.J. Henry,49500,382.6,0.3,6.33
3157,Justin Thomas,Daniel Berger,Webb Simpson,Harris English,Ryan Palmer,John Merrick,49700,396.4,3.9,6.66
9067,Xander Schauffele,Viktor Hovland,Matthew Fitzpatrick,Harris English,Abraham Ancer,Donnie Trosper,49100,384.1,0.7,6.71
8833,Justin Thomas,Bryson DeChambeau,Viktor Hovland,Jason Kokrak,Mackenzie Hughes,Daniel Chopra,49500,384.5,0.8,5.34
7128,Justin Thomas,Bryson DeChambeau,Max Homa,Joaquin Niemann,Mackenzie Hughes,Erik Van Rooyen,49700,387.6,1.6,9.47
5645,Jon Rahm,Xander Schauffele,Sungjae Im,Lanto Griffin,Mackenzie Hughes,Erik Van Rooyen,50000,390.6,2.4,10.64
3897,Xander Schauffele,Bryson DeChambeau,Daniel Berger,Abraham Ancer,Brendon Todd,John Merrick,49300,394.5,3.4,6.06
5097,Xander Schauffele,Hideki Matsuyama,Scottie Scheffler,Joaquin Niemann,Harris English,Abraham Ancer,49900,391.7,2.7,15.55
7962,Justin Thomas,Bryson DeChambeau,Viktor Hovland,Billy Horschel,Bernd Wiesberger,Erik Van Rooyen,49700,386.0,1.2,10.84
7644,Jon Rahm,Patrick Reed,Webb Simpson,Ryan Palmer,Bernd Wiesberger,Sebastian Munoz,49800,386.6,1.3,12.16
9247,Jon Rahm,Tyrrell Hatton,Patrick Reed,Abraham Ancer,Lanto Griffin,Andy Sullivan,49900,383.8,0.6,9.25
2199,Jon Rahm,Bryson DeChambeau,Patrick Reed,Kevin Kisner,Mackenzie Hughes,Erik Van Rooyen,49800,399.6,4.8,10.12
4100,Justin Thomas,Tyrrell Hatton,Patrick Reed,Harris English,Bernd Wiesberger,Brendon Todd,49900,394.0,3.3,11.23
3657,Xander Schauffele,Bryson DeChambeau,Patrick Reed,Billy Horschel,Mackenzie Hughes,Chan Kim,49600,395.1,3.6,7.12
8898,Justin Thomas,Bryson DeChambeau,Tony Finau,Abraham Ancer,Bernd Wiesberger,Sami Valimaki,49800,384.4,0.8,7.43
6114,Jon Rahm,Justin Thomas,Matthew Fitzpatrick,Abraham Ancer,Lanto Griffin,Erik Van Rooyen,49800,389.6,2.1,10.8
6812,Xander Schauffele,Daniel Berger,Matthew Fitzpatrick,Matthew Wolff,Abraham Ancer,Bernd Wiesberger,49700,388.2,1.8,10.7
2504,Xander Schauffele,Daniel Berger,Patrick Reed,Harris English,Billy Horschel,John Merrick,49900,398.6,4.5,6.13
10361,Bryson DeChambeau,Tony Finau,Patrick Reed,Peter Uihlein,Ryan Palmer,Matt Kuchar,49900,381.7,0.1,5.5
8104,Xander Schauffele,Bryson DeChambeau,Tyrrell Hatton,Kevin Na,Robert Garrigus,Mackenzie Hughes,50000,385.8,1.1,4.99
8854,Bryson DeChambeau,Patrick Reed,Collin Morikawa,Ryan Palmer,Kevin Kisner,Sebastian Munoz,48800,384.4,0.8,11.45
5931,Dustin Johnson,Xander Schauffele,Harris English,Billy Horschel,Abraham Ancer,Jason Scrivener,50000,390.0,2.2,10.1
6201,Jon Rahm,Daniel Berger,Sungjae Im,Harris English,Mackenzie Hughes,John Rollins,49100,389.4,2.1,6.24
6816,Xander Schauffele,Patrick Reed,Webb Simpson,Joaquin Niemann,Abraham Ancer,Eric Axley,50000,388.2,1.8,6.93
8398,Bryson DeChambeau,Daniel Berger,Patrick Reed,Jason Kokrak,Christiaan Bezuidenhout,Kevin Kisner,49600,385.3,1.0,10.26
6620,Bryson DeChambeau,Patrick Reed,Webb Simpson,Louis Oosthuizen,Sergio Garcia,Mackenzie Hughes,50000,388.6,1.9,10.16
3258,Xander Schauffele,Tyrrell Hatton,Daniel Berger,Ryan Palmer,Abraham Ancer,Lucas Herbert,49900,396.2,3.9,10.74
3947,Justin Thomas,Viktor Hovland,Scottie Scheffler,Harris English,Ryan Palmer,Kevin Kisner,49900,394.4,3.4,15.89
8351,Dustin Johnson,Patrick Reed,Adam Scott,Jason Kokrak,Abraham Ancer,Mackenzie Hughes,49300,385.3,1.0,11.66
6552,Dustin Johnson,Daniel Berger,Webb Simpson,Ryan Palmer,Sebastian Munoz,Erik Van Rooyen,49900,388.7,1.9,11.52
5693,Bryson DeChambeau,Patrick Reed,Matthew Fitzpatrick,Scottie Scheffler,Ryan Palmer,Kevin Na,49900,390.5,2.4,12.6
7407,Bryson DeChambeau,Webb Simpson,Collin Morikawa,Joaquin Niemann,Harris English,Erik Van Rooyen,49800,387.1,1.5,12.78
5144,Xander Schauffele,Justin Thomas,Cameron Percy,Harris English,Billy Horschel,Mackenzie Hughes,49800,391.6,2.7,5.43
2978,Xander Schauffele,Daniel Berger,Patrick Reed,Shane Lowry,Abraham Ancer,Sebastian Munoz,49800,397.0,4.1,9.47
6878,Dustin Johnson,Jon Rahm,Bubba Watson,Abraham Ancer,Mackenzie Hughes,Brendon Todd,49600,388.1,1.7,11.58
5044,Justin Thomas,Daniel Berger,Adam Scott,Sergio Garcia,Ryan Palmer,Abraham Ancer,49500,391.8,2.7,12.21
9655,Xander Schauffele,Justin Thomas,Webb Simpson,Christiaan Bezuidenhout,Mackenzie Hughes,Eric Axley,49900,383.0,0.4,4.4
10316,Xander Schauffele,Tyrrell Hatton,Patrick Reed,Louis Oosthuizen,Brendon Todd,JC Ritchie,50000,381.8,0.1,5.22
4500,Xander Schauffele,Bryson DeChambeau,Patrick Reed,Abraham Ancer,Lanto Griffin,Andres Romero,50000,393.0,3.0,6.26
8357,Bryson DeChambeau,Tony Finau,Sungjae Im,Scottie Scheffler,Abraham Ancer,Erik Van Rooyen,49800,385.3,1.0,14.01
9940,Justin Thomas,Viktor Hovland,Patrick Reed,Shane Lowry,Lanto Griffin,Erik Van Rooyen,49200,382.5,0.3,8.6
8326,Justin Thomas,Daniel Berger,Patrick Reed,Harris English,Stephen Stallings Jr.,Sami Valimaki,49200,385.4,1.0,3.14
2715,Justin Thomas,Tony Finau,Joaquin Niemann,Harris English,Ryan Palmer,Brendon Todd,49500,397.8,4.3,16.9
4417,Jon Rahm,Patrick Reed,Scottie Scheffler,Bubba Watson,Ryan Palmer,Mackenzie Hughes,49500,393.2,3.1,11.82
9606,Tony Finau,Tyrrell Hatton,Viktor Hovland,Joaquin Niemann,Mackenzie Hughes,Erik Van Rooyen,49500,383.1,0.4,13.42
6889,Jon Rahm,Tony Finau,Matthew Wolff,Harris English,Billy Horschel,Erik Van Rooyen,49200,388.0,1.7,12.1
7659,Justin Thomas,Tony Finau,Hideki Matsuyama,Matthew Wolff,Ryan Palmer,Sebastian Munoz,50000,386.6,1.3,10.64

GOLFER EXPOSURE
Golfer,Lineups,Exposure % (of 150)
Will Zalatoris,52,34.7
Bryson DeChambeau,52,34.7
Ryan Palmer,44,29.3
Mackenzie Hughes,43,28.7
Daniel Berger,42,28.0
Justin Thomas,42,28.0
Xander Schauffele,41,27.3
Patrick Reed,41,27.3
Abraham Ancer,39,26.0
Harris English,37,24.7
Jon Rahm,27,18.0
