Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
3614,Shane Lowry,Max McGreevy,Mac Meissner,Rico Hoey,Tom Kim,Steven Fisk,48000,423.8,2.5,8.64
1737,Shane Lowry,Keith Mitchell,Davis Thompson,Mac Meissner,Garrick Higgo,Beau Hossler,50000,427.3,2.9,8.39
951,Ryan Gerard,Nicolai Hojgaard,John Keefer,Jordan L. Smith,Matt Wallace,Gary Woodland,49100,429.4,-0.6,9.57
3203,Nicolai Hojgaard,Davis Thompson,Will Zalatoris,Alex Smalley,Kristoffer Reitan,Dylan Wu,49200,424.4,0.7,8.9
4498,Shane Lowry,Ryan Gerard,Davis Thompson,Jordan L. Smith,Dylan Wu,Davis Riley,49400,422.5,2.7,8.15
7363,Ryan Gerard,Rasmus Hojgaard,Keith Mitchell,Jesper Svensson,Chad Ramey,Isaiah Salinda,49000,418.6,10.5,6.7
6968,Ryan Gerard,Michael Thorbjornsen,Max Homa,Rico Hoey,Kris Ventura,Adrien Saddier,48300,419.1,10.7,7.02
5385,Ryan Gerard,Nicolai Hojgaard,Ricky Castillo,Matt Wallace,Kevin Yu,Takumi Kanaya,48200,421.2,10.2,6.81
6809,Ryan Gerard,Daniel Berger,Davis Thompson,Kristoffer Reitan,Garrick Higgo,Keita Nakajima,48900,419.3,11.1,6.81
4647,Rasmus Hojgaard,Nicolai Hojgaard,Davis Thompson,Mac Meissner,Seamus Power,Adrien Saddier,49800,422.2,6.8,7.87
3540,Nicolai Hojgaard,Keith Mitchell,Alex Smalley,Rico Hoey,Kris Ventura,Dylan Wu,48600,423.9,5.8,7.73
3639,Rasmus Hojgaard,Nicolai Hojgaard,Davis Thompson,Mackenzie Hughes,Matt Wallace,Gary Woodland,49400,423.7,4.3,7.93
6993,Shane Lowry,Rasmus Neergaard-Petersen,Will Zalatoris,Alex Smalley,Kris Ventura,Steven Fisk,49800,419.1,8.3,7.14
2908,Ryan Gerard,Keith Mitchell,Hao-Tong Li,Mac Meissner,Rico Hoey,Keita Nakajima,49400,424.9,4.2,8.61
692,Shane Lowry,Nicolai Hojgaard,Max McGreevy,Jordan L. Smith,Ricky Castillo,Beau Hossler,49700,430.4,-0.1,9.46
1063,Shane Lowry,Ryan Gerard,Max McGreevy,Rico Hoey,Jesper Svensson,Chandler Phillips,49100,429.1,4.1,8.63
1597,Shane Lowry,Ryan Gerard,Nicolai Hojgaard,Garrick Higgo,Adam Hadwin,Keita Nakajima,49700,427.7,6.8,8.16
6133,Shane Lowry,Ryan Gerard,Rasmus Neergaard-Petersen,Kevin Yu,Vince Whaley,Davis Riley,49700,420.2,5.3,7.52
4055,Shane Lowry,Nicolai Hojgaard,Michael Thorbjornsen,Garrick Higgo,Seonghyeon Kim,Chandler Phillips,49500,423.1,6.0,7.94
5542,Shane Lowry,Nicolai Hojgaard,Davis Thompson,Jordan L. Smith,Kevin Roy,Webb Simpson,49500,421.0,10.5,7.09
1541,Ryan Gerard,Nicolai Hojgaard,Max McGreevy,Mac Meissner,Zecheng Dou,Keita Nakajima,48900,427.8,3.4,9.02
1382,Shane Lowry,Ryan Gerard,Nicolai Hojgaard,Matt Wallace,Matti Schmid,Mark Hubbard,49500,428.2,11.4,7.21
3697,Rasmus Hojgaard,Nicolai Hojgaard,Christiaan Bezuidenhout,Ricky Castillo,Garrick Higgo,Jesper Svensson,49400,423.7,1.3,8.55
609,Ryan Gerard,Davis Thompson,Mac Meissner,Rico Hoey,John Parry,Garrick Higgo,48700,430.8,-0.9,9.4
5073,Shane Lowry,Rasmus Neergaard-Petersen,Max McGreevy,Kristoffer Reitan,Garrick Higgo,Daniel Brown,49400,421.6,3.2,7.99
8937,Shane Lowry,Ryan Gerard,Matt Wallace,Michael Brennan,Daniel Brown,Webb Simpson,48100,416.5,17.0,5.83
2312,Ryan Gerard,Michael Thorbjornsen,Alex Smalley,Kristoffer Reitan,Rico Hoey,John VanDerLaan,48900,426.0,16.9,6.87
