#,G,G,G,G,G,G,Salary,Proj,Mean Payout,ROI%
101,Nicolai Hojgaard,Daniel Berger,Michael Brennan,Jordan L. Smith,Garrick Higgo,Mark Hubbard,"$49,300",242.8,$17.13,+242.6%
102,Shane Lowry,Daniel Berger,Aaron Rai,William Mouw,Dylan Wu,Zachary Bauchou,"$49,500",238.5,$13.40,+168.0%
103,Shane Lowry,Michael Brennan,Matti Schmid,Austin Smotherman,Chad Ramey,Emiliano Grillo,"$48,000",238.3,$13.32,+166.4%
104,Ryan Gerard,Davis Thompson,John Parry,Beau Hossler,Steven Fisk,Matt Wallace,"$49,000",242.4,$17.89,+257.9%
105,Shane Lowry,Hao-Tong Li,Kristoffer Reitan,Chad Ramey,Chandler Phillips,A.J. Ewart,"$48,200",236.8,$12.48,+149.6%
106,Keith Mitchell,Davis Thompson,John Parry,Max Homa,Matt Wallace,Zecheng Dou,"$48,700",243.3,$21.92,+338.5%
107,Daniel Berger,Hao-Tong Li,Nicolas Echavarria,Michael Brennan,Joel Dahmen,David Ford,"$48,900",238.9,$15.49,+209.8%
108,Keith Mitchell,Max McGreevy,Rasmus Neergaard-Petersen,Adrien Saddier,Matt Wallace,Sudarshan Yellamaraju,"$49,100",241.7,$16.83,+236.7%
109,Shane Lowry,Nicolas Echavarria,Austin Smotherman,Jordan L. Smith,Tom Kim,Garrick Higgo,"$48,300",241.7,$14.90,+198.1%
110,Ryan Gerard,Max McGreevy,Rasmus Neergaard-Petersen,Beau Hossler,Steven Fisk,Matthieu Pavon,"$49,900",239.6,$15.48,+209.7%
111,Nicolai Hojgaard,Daniel Berger,Matti Schmid,Austin Smotherman,Kevin Roy,Dylan Wu,"$49,000",238.3,$13.66,+173.1%
112,Keith Mitchell,Rasmus Neergaard-Petersen,Alex Smalley,John Parry,Mackenzie Hughes,Zecheng Dou,"$49,700",243.4,$19.93,+298.5%
113,Christiaan Bezuidenhout,Alex Smalley,Thorbjorn Olesen,John Parry,Lee Hodges,Austin Eckroat,"$48,300",239.7,$17.80,+256.0%
114,Ryan Gerard,Rasmus Hojgaard,Alex Smalley,Lee Hodges,Steven Fisk,Daniel Brown,"$49,800",242.5,$19.00,+280.1%
115,Nicolai Hojgaard,Kristoffer Reitan,Nicolas Echavarria,Matti Schmid,Chad Ramey,Mark Hubbard,"$48,200",237.4,$13.17,+163.5%
116,Nicolai Hojgaard,Daniel Berger,Aaron Rai,Emiliano Grillo,Adrien Dumont De Chassart,A.J. Ewart,"$49,000",238.8,$14.01,+180.3%
